"Interval start","All packets","Keyframes","Non-Keyframes"
0,86,63,23
1,85,58,27
2,83,18,65
3,85,19,66
4,84,38,46
5,84,29,55
6,85,44,41
7,84,57,27
8,85,3,82
9,84,0,84
10,84,59,25
11,85,49,36
12,84,47,37
13,86,16,70
14,84,38,46
15,84,71,13
16,83,59,24
17,30,19,11
