No.,Time,Source,Destination,Protocol,Length
172,2.063936000,127.0.0.1,127.0.0.1,UDP,1556
173,2.076587000,127.0.0.1,127.0.0.1,UDP,1556
174,2.089247000,127.0.0.1,127.0.0.1,UDP,1556
175,2.101900000,127.0.0.1,127.0.0.1,UDP,1556
176,2.114556000,127.0.0.1,127.0.0.1,UDP,1556
177,2.127212000,127.0.0.1,127.0.0.1,UDP,1556
178,2.139863000,127.0.0.1,127.0.0.1,UDP,1556
179,2.152524000,127.0.0.1,127.0.0.1,UDP,1556
180,2.165172000,127.0.0.1,127.0.0.1,UDP,1556
181,2.170229000,127.0.0.1,127.0.0.1,UDP,606
296,3.582817000,127.0.0.1,127.0.0.1,UDP,1556
297,3.595476000,127.0.0.1,127.0.0.1,UDP,1556
298,3.608136000,127.0.0.1,127.0.0.1,UDP,1556
299,3.620794000,127.0.0.1,127.0.0.1,UDP,1556
300,3.633448000,127.0.0.1,127.0.0.1,UDP,1556
301,3.646100000,127.0.0.1,127.0.0.1,UDP,1556
302,3.658754000,127.0.0.1,127.0.0.1,UDP,1556
303,3.671411000,127.0.0.1,127.0.0.1,UDP,1556
304,3.684067000,127.0.0.1,127.0.0.1,UDP,1556
305,3.696725000,127.0.0.1,127.0.0.1,UDP,1556
306,3.709378000,127.0.0.1,127.0.0.1,UDP,1556
307,3.716331000,127.0.0.1,127.0.0.1,UDP,844
394,4.771129000,127.0.0.1,127.0.0.1,UDP,1556
395,4.783788000,127.0.0.1,127.0.0.1,UDP,1556
396,4.796445000,127.0.0.1,127.0.0.1,UDP,1556
397,4.809095000,127.0.0.1,127.0.0.1,UDP,1556
398,4.821757000,127.0.0.1,127.0.0.1,UDP,1556
399,4.834407000,127.0.0.1,127.0.0.1,UDP,1556
400,4.847064000,127.0.0.1,127.0.0.1,UDP,1556
401,4.859752000,127.0.0.1,127.0.0.1,UDP,1556
402,4.872372000,127.0.0.1,127.0.0.1,UDP,1556
403,4.885033000,127.0.0.1,127.0.0.1,UDP,1556
404,4.887248000,127.0.0.1,127.0.0.1,UDP,252
661,8.018663000,127.0.0.1,127.0.0.1,UDP,1556
662,8.031335000,127.0.0.1,127.0.0.1,UDP,1556
663,8.043997000,127.0.0.1,127.0.0.1,UDP,1556
664,8.056627000,127.0.0.1,127.0.0.1,UDP,1556
665,8.069290000,127.0.0.1,127.0.0.1,UDP,1556
666,8.081950000,127.0.0.1,127.0.0.1,UDP,1556
667,8.094600000,127.0.0.1,127.0.0.1,UDP,1556
668,8.107258000,127.0.0.1,127.0.0.1,UDP,1556
669,8.119909000,127.0.0.1,127.0.0.1,UDP,1556
670,8.132580000,127.0.0.1,127.0.0.1,UDP,1556
671,8.145218000,127.0.0.1,127.0.0.1,UDP,1556
672,8.157872000,127.0.0.1,127.0.0.1,UDP,1556
673,8.170537000,127.0.0.1,127.0.0.1,UDP,1556
674,8.173181000,127.0.0.1,127.0.0.1,UDP,305
853,10.343319000,127.0.0.1,127.0.0.1,UDP,1556
854,10.355971000,127.0.0.1,127.0.0.1,UDP,1556
855,10.368633000,127.0.0.1,127.0.0.1,UDP,1556
856,10.381287000,127.0.0.1,127.0.0.1,UDP,1556
857,10.393938000,127.0.0.1,127.0.0.1,UDP,1556
858,10.406603000,127.0.0.1,127.0.0.1,UDP,1556
859,10.419245000,127.0.0.1,127.0.0.1,UDP,1556
860,10.431915000,127.0.0.1,127.0.0.1,UDP,1556
861,10.444585000,127.0.0.1,127.0.0.1,UDP,1556
862,10.457218000,127.0.0.1,127.0.0.1,UDP,1556
863,10.463660000,127.0.0.1,127.0.0.1,UDP,779
960,11.709790000,127.0.0.1,127.0.0.1,UDP,1556
961,11.722444000,127.0.0.1,127.0.0.1,UDP,1556
962,11.735100000,127.0.0.1,127.0.0.1,UDP,1556
963,11.747756000,127.0.0.1,127.0.0.1,UDP,1556
964,11.760411000,127.0.0.1,127.0.0.1,UDP,1556
965,11.773067000,127.0.0.1,127.0.0.1,UDP,1556
966,11.785721000,127.0.0.1,127.0.0.1,UDP,1556
967,11.798375000,127.0.0.1,127.0.0.1,UDP,1556
968,11.811037000,127.0.0.1,127.0.0.1,UDP,1556
969,11.823685000,127.0.0.1,127.0.0.1,UDP,1556
970,11.836346000,127.0.0.1,127.0.0.1,UDP,1556
971,11.848997000,127.0.0.1,127.0.0.1,UDP,1556
972,11.856954000,127.0.0.1,127.0.0.1,UDP,969
1065,13.014532000,127.0.0.1,127.0.0.1,UDP,1556
1066,13.027201000,127.0.0.1,127.0.0.1,UDP,1556
1067,13.039848000,127.0.0.1,127.0.0.1,UDP,1556
1068,13.052510000,127.0.0.1,127.0.0.1,UDP,1556
1069,13.065165000,127.0.0.1,127.0.0.1,UDP,1556
1070,13.077817000,127.0.0.1,127.0.0.1,UDP,1556
1071,13.090477000,127.0.0.1,127.0.0.1,UDP,1556
1072,13.103126000,127.0.0.1,127.0.0.1,UDP,1556
1073,13.115785000,127.0.0.1,127.0.0.1,UDP,1556
1074,13.128448000,127.0.0.1,127.0.0.1,UDP,1556
1075,13.137929000,127.0.0.1,127.0.0.1,UDP,1162
1605,19.517646000,127.0.0.1,127.0.0.1,UDP,1556
1606,19.530295000,127.0.0.1,127.0.0.1,UDP,1556
1607,19.542953000,127.0.0.1,127.0.0.1,UDP,1556
1608,19.555609000,127.0.0.1,127.0.0.1,UDP,1556
1609,19.568263000,127.0.0.1,127.0.0.1,UDP,1556
1610,19.580923000,127.0.0.1,127.0.0.1,UDP,1556
1611,19.593573000,127.0.0.1,127.0.0.1,UDP,1556
1612,19.606229000,127.0.0.1,127.0.0.1,UDP,1556
1613,19.618911000,127.0.0.1,127.0.0.1,UDP,1556
1614,19.631539000,127.0.0.1,127.0.0.1,UDP,1556
1615,19.644193000,127.0.0.1,127.0.0.1,UDP,1556
1616,19.656856000,127.0.0.1,127.0.0.1,UDP,1556
1617,19.669516000,127.0.0.1,127.0.0.1,UDP,1556
1618,19.671887000,127.0.0.1,127.0.0.1,UDP,272
1821,22.127986000,127.0.0.1,127.0.0.1,UDP,1556
1822,22.140642000,127.0.0.1,127.0.0.1,UDP,1556
1823,22.153300000,127.0.0.1,127.0.0.1,UDP,1556
1824,22.165952000,127.0.0.1,127.0.0.1,UDP,1556
1825,22.178610000,127.0.0.1,127.0.0.1,UDP,1556
1826,22.191259000,127.0.0.1,127.0.0.1,UDP,1556
1827,22.203921000,127.0.0.1,127.0.0.1,UDP,1556
1828,22.216578000,127.0.0.1,127.0.0.1,UDP,1556
1829,22.229238000,127.0.0.1,127.0.0.1,UDP,1556
1830,22.241881000,127.0.0.1,127.0.0.1,UDP,1556
1831,22.254545000,127.0.0.1,127.0.0.1,UDP,1556
1832,22.257825000,127.0.0.1,127.0.0.1,UDP,385
2457,30.022999000,127.0.0.1,127.0.0.1,UDP,1556
2458,30.035657000,127.0.0.1,127.0.0.1,UDP,1556
2459,30.048306000,127.0.0.1,127.0.0.1,UDP,1556
2460,30.060962000,127.0.0.1,127.0.0.1,UDP,1556
