"Interval start","All packets","Keyframes","Non-Keyframes"
0,83,0,83
1,83,0,83
2,82,10,72
3,82,12,70
4,82,11,71
5,83,0,83
6,82,0,82
7,82,0,82
8,83,14,69
9,83,0,83
10,77,11,66
11,81,13,68
12,80,0,80
13,84,11,73
14,83,0,83
15,84,0,84
16,83,0,83
17,82,0,82
18,82,0,82
19,84,14,70
20,82,0,82
21,83,0,83
22,82,12,70
23,81,0,81
24,81,0,81
25,81,0,81
26,82,0,82
27,75,0,75
28,81,0,81
29,81,0,81
30,83,13,70
31,83,0,83
32,83,3,80
33,83,10,73
34,82,0,82
35,82,0,82
36,84,0,84
37,82,0,82
38,83,0,83
39,83,1,82
40,82,10,72
41,82,0,82
42,82,0,82
43,82,0,82
44,81,0,81
45,82,0,82
46,82,0,82
47,84,0,84
48,82,0,82
49,78,26,52
50,82,0,82
51,81,0,81
52,81,12,69
53,83,0,83
54,81,0,81
55,83,0,83
56,82,0,82
57,83,0,83
58,82,13,69
59,82,0,82
60,83,0,83
61,84,16,68
62,83,0,83
63,84,0,84
64,80,0,80
65,83,8,75
66,82,4,78
67,82,13,69
68,83,0,83
69,83,14,69
70,81,0,81
71,81,0,81
72,81,0,81
73,82,13,69
74,83,0,83
75,82,0,82
76,83,13,70
77,81,14,67
78,83,0,83
79,83,11,72
80,84,0,84
81,83,0,83
82,83,0,83
83,80,0,80
84,83,14,69
85,82,0,82
86,82,0,82
87,82,0,82
88,82,0,82
89,82,0,82
90,82,0,82
91,83,0,83
92,82,0,82
93,77,0,77
94,82,0,82
95,82,0,82
96,83,0,83
97,82,0,82
98,83,0,83
99,81,0,81
100,81,0,81
101,83,0,83
102,82,0,82
103,83,0,83
104,81,0,81
105,82,11,71
106,80,0,80
107,80,4,76
108,82,9,73
109,82,0,82
110,83,0,83
111,77,0,77
112,82,0,82
113,82,16,66
114,82,0,82
115,80,0,80
116,81,27,54
117,82,0,82
118,82,0,82
119,81,13,68
120,83,0,83
121,83,0,83
122,82,0,82
123,82,13,69
124,77,0,77
125,82,0,82
126,82,12,70
127,82,0,82
128,82,9,73
129,81,2,79
130,80,0,80
131,81,0,81
132,81,0,81
133,83,14,69
134,83,0,83
135,83,0,83
136,82,12,70
137,82,0,82
138,82,0,82
139,76,0,76
140,82,0,82
141,82,16,66
142,83,0,83
143,83,0,83
144,83,0,83
145,83,0,83
146,83,0,83
147,84,0,84
148,82,0,82
149,83,0,83
150,83,0,83
151,83,26,57
152,80,0,80
153,75,0,75
154,82,12,70
155,83,0,83
156,83,0,83
157,82,0,82
158,82,0,82
159,82,0,82
160,82,0,82
161,84,0,84
162,82,0,82
163,84,16,68
164,83,0,83
165,82,0,82
166,79,14,65
167,80,0,80
168,82,0,82
169,81,14,67
170,83,0,83
171,82,0,82
172,82,12,70
173,82,0,82
174,82,0,82
175,82,13,69
176,82,0,82
177,83,0,83
178,81,0,81
179,81,0,81
180,81,13,68
181,82,0,82
182,76,0,76
183,82,0,82
184,81,13,68
185,83,0,83
186,82,0,82
187,81,13,68
188,81,0,81
189,81,0,81
190,83,12,71
191,39,0,39
