No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.024078000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.048153000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.060514000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.096310000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.143825000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.156179000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.180256000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.192617000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.195620000,192.168.45.2,192.168.45.4,UDP,318
44,1.106263000,192.168.45.2,192.168.45.4,IPv4,1514
45,1.130345000,192.168.45.2,192.168.45.4,IPv4,1514
46,1.154420000,192.168.45.2,192.168.45.4,IPv4,1514
47,1.190214000,192.168.45.2,192.168.45.4,IPv4,1514
48,1.226010000,192.168.45.2,192.168.45.4,IPv4,1514
49,1.238371000,192.168.45.2,192.168.45.4,IPv4,1514
50,1.250729000,192.168.45.2,192.168.45.4,IPv4,1514
51,1.274806000,192.168.45.2,192.168.45.4,IPv4,1514
52,1.310601000,192.168.45.2,192.168.45.4,IPv4,1514
53,1.322961000,192.168.45.2,192.168.45.4,IPv4,1514
54,1.347037000,192.168.45.2,192.168.45.4,IPv4,1514
55,1.382830000,192.168.45.2,192.168.45.4,IPv4,1514
56,1.402667000,192.168.45.2,192.168.45.4,UDP,972
106,2.592246000,192.168.45.2,192.168.45.4,IPv4,1514
107,2.604602000,192.168.45.2,192.168.45.4,IPv4,1514
108,2.628680000,192.168.45.2,192.168.45.4,IPv4,1514
109,2.664476000,192.168.45.2,192.168.45.4,IPv4,1514
110,2.676837000,192.168.45.2,192.168.45.4,IPv4,1514
111,2.700909000,192.168.45.2,192.168.45.4,IPv4,1514
112,2.748425000,192.168.45.2,192.168.45.4,IPv4,1514
113,2.772502000,192.168.45.2,192.168.45.4,IPv4,1514
114,2.796576000,192.168.45.2,192.168.45.4,IPv4,1514
115,2.820656000,192.168.45.2,192.168.45.4,IPv4,1514
116,2.856452000,192.168.45.2,192.168.45.4,IPv4,1514
117,2.868812000,192.168.45.2,192.168.45.4,IPv4,1514
118,2.904608000,192.168.45.2,192.168.45.4,IPv4,1514
119,2.942005000,192.168.45.2,192.168.45.4,UDP,221
133,3.271463000,192.168.45.2,192.168.45.4,IPv4,1514
134,3.295535000,192.168.45.2,192.168.45.4,IPv4,1514
135,3.319613000,192.168.45.2,192.168.45.4,IPv4,1514
136,3.331968000,192.168.45.2,192.168.45.4,IPv4,1514
137,3.356048000,192.168.45.2,192.168.45.4,IPv4,1514
138,3.368405000,192.168.45.2,192.168.45.4,IPv4,1514
139,3.392483000,192.168.45.2,192.168.45.4,IPv4,1514
140,3.404845000,192.168.45.2,192.168.45.4,IPv4,1514
141,3.417202000,192.168.45.2,192.168.45.4,IPv4,1514
142,3.441278000,192.168.45.2,192.168.45.4,IPv4,1514
143,3.477074000,192.168.45.2,192.168.45.4,IPv4,1514
144,3.489434000,192.168.45.2,192.168.45.4,IPv4,1514
145,3.513512000,192.168.45.2,192.168.45.4,IPv4,1514
172,4.213728000,192.168.45.2,192.168.45.4,IPv4,1514
173,4.261234000,192.168.45.2,192.168.45.4,IPv4,1514
174,4.297029000,192.168.45.2,192.168.45.4,IPv4,1514
175,4.309390000,192.168.45.2,192.168.45.4,IPv4,1514
176,4.321751000,192.168.45.2,192.168.45.4,IPv4,1514
177,4.334110000,192.168.45.2,192.168.45.4,IPv4,1514
