No.,Time,Source,Destination,Protocol,Length
172,4.113144000,192.168.45.2,192.168.45.4,IPv4,1514
173,4.125504000,192.168.45.2,192.168.45.4,IPv4,1514
174,4.149578000,192.168.45.2,192.168.45.4,IPv4,1514
175,4.161939000,192.168.45.2,192.168.45.4,IPv4,1514
176,4.174301000,192.168.45.2,192.168.45.4,IPv4,1514
177,4.198393000,192.168.45.2,192.168.45.4,IPv4,1514
178,4.222454000,192.168.45.2,192.168.45.4,IPv4,1514
179,4.269964000,192.168.45.2,192.168.45.4,IPv4,1514
180,4.305759000,192.168.45.2,192.168.45.4,IPv4,1514
181,4.310691000,192.168.45.2,192.168.45.4,UDP,564
296,7.131531000,192.168.45.2,192.168.45.4,IPv4,1514
297,7.167325000,192.168.45.2,192.168.45.4,IPv4,1514
298,7.214843000,192.168.45.2,192.168.45.4,IPv4,1514
299,7.238915000,192.168.45.2,192.168.45.4,IPv4,1514
300,7.262993000,192.168.45.2,192.168.45.4,IPv4,1514
301,7.275353000,192.168.45.2,192.168.45.4,IPv4,1514
302,7.299431000,192.168.45.2,192.168.45.4,IPv4,1514
303,7.323506000,192.168.45.2,192.168.45.4,IPv4,1514
304,7.335866000,192.168.45.2,192.168.45.4,IPv4,1514
305,7.383377000,192.168.45.2,192.168.45.4,IPv4,1514
306,7.407457000,192.168.45.2,192.168.45.4,IPv4,1514
307,7.425964000,192.168.45.2,192.168.45.4,UDP,802
394,9.370071000,192.168.45.2,192.168.45.4,IPv4,1514
395,9.394145000,192.168.45.2,192.168.45.4,IPv4,1514
396,9.429941000,192.168.45.2,192.168.45.4,IPv4,1514
397,9.500899000,192.168.45.2,192.168.45.4,IPv4,1514
398,9.524971000,192.168.45.2,192.168.45.4,IPv4,1514
399,9.549047000,192.168.45.2,192.168.45.4,IPv4,1514
400,9.584843000,192.168.45.2,192.168.45.4,IPv4,1514
401,9.632358000,192.168.45.2,192.168.45.4,IPv4,1514
402,9.644713000,192.168.45.2,192.168.45.4,IPv4,1514
403,9.668785000,192.168.45.2,192.168.45.4,IPv4,1514
404,9.694387000,192.168.45.2,192.168.45.4,UDP,210
661,15.635117000,192.168.45.2,192.168.45.4,IPv4,1514
662,15.659196000,192.168.45.2,192.168.45.4,IPv4,1514
663,15.694990000,192.168.45.2,192.168.45.4,IPv4,1514
664,15.719066000,192.168.45.2,192.168.45.4,IPv4,1514
665,15.743145000,192.168.45.2,192.168.45.4,IPv4,1514
666,15.755502000,192.168.45.2,192.168.45.4,IPv4,1514
667,15.767862000,192.168.45.2,192.168.45.4,IPv4,1514
668,15.780226000,192.168.45.2,192.168.45.4,IPv4,1514
669,15.804295000,192.168.45.2,192.168.45.4,IPv4,1514
670,15.828377000,192.168.45.2,192.168.45.4,IPv4,1514
671,15.840737000,192.168.45.2,192.168.45.4,IPv4,1514
672,15.853092000,192.168.45.2,192.168.45.4,IPv4,1514
673,15.865452000,192.168.45.2,192.168.45.4,IPv4,1514
674,15.879742000,192.168.45.2,192.168.45.4,UDP,263
853,20.014591000,192.168.45.2,192.168.45.4,IPv4,1514
854,20.050378000,192.168.45.2,192.168.45.4,IPv4,1514
855,20.074453000,192.168.45.2,192.168.45.4,IPv4,1514
856,20.086809000,192.168.45.2,192.168.45.4,IPv4,1514
857,20.099169000,192.168.45.2,192.168.45.4,IPv4,1514
858,20.111529000,192.168.45.2,192.168.45.4,IPv4,1514
859,20.123888000,192.168.45.2,192.168.45.4,IPv4,1514
860,20.136245000,192.168.45.2,192.168.45.4,IPv4,1514
861,20.148606000,192.168.45.2,192.168.45.4,IPv4,1514
862,20.207834000,192.168.45.2,192.168.45.4,IPv4,1514
863,20.214115000,192.168.45.2,192.168.45.4,UDP,737
960,22.585957000,192.168.45.2,192.168.45.4,IPv4,1514
961,22.610037000,192.168.45.2,192.168.45.4,IPv4,1514
962,22.645832000,192.168.45.2,192.168.45.4,IPv4,1514
963,22.658187000,192.168.45.2,192.168.45.4,IPv4,1514
964,22.682267000,192.168.45.2,192.168.45.4,IPv4,1514
965,22.694629000,192.168.45.2,192.168.45.4,IPv4,1514
966,22.706981000,192.168.45.2,192.168.45.4,IPv4,1514
967,22.742777000,192.168.45.2,192.168.45.4,IPv4,1514
968,22.755138000,192.168.45.2,192.168.45.4,IPv4,1514
969,22.790932000,192.168.45.2,192.168.45.4,IPv4,1514
970,22.803292000,192.168.45.2,192.168.45.4,IPv4,1514
971,22.827375000,192.168.45.2,192.168.45.4,IPv4,1514
972,22.870289000,192.168.45.2,192.168.45.4,UDP,927
1065,25.125706000,192.168.45.2,192.168.45.4,IPv4,1514
1066,25.161501000,192.168.45.2,192.168.45.4,IPv4,1514
1067,25.185576000,192.168.45.2,192.168.45.4,IPv4,1514
1068,25.244811000,192.168.45.2,192.168.45.4,IPv4,1514
1069,25.280607000,192.168.45.2,192.168.45.4,IPv4,1514
1070,25.304683000,192.168.45.2,192.168.45.4,IPv4,1514
1071,25.328757000,192.168.45.2,192.168.45.4,IPv4,1514
1072,25.341118000,192.168.45.2,192.168.45.4,IPv4,1514
