"Interval start","All packets","Keyframes","Non-Keyframes"
0,36,0,36
1,45,0,45
2,44,0,44
3,42,0,42
4,45,10,35
5,38,0,38
6,40,0,40
7,43,12,31
8,45,0,45
9,41,11,30
10,43,0,43
11,41,0,41
12,46,0,46
13,43,0,43
14,43,0,43
15,45,14,31
16,42,0,42
17,46,0,46
18,46,0,46
19,38,0,38
20,41,11,30
21,45,0,45
22,39,13,26
23,42,0,42
24,38,0,38
25,47,11,36
26,50,0,50
27,46,0,46
28,42,0,42
29,49,0,49
30,43,0,43
31,48,0,48
32,46,0,46
33,46,0,46
34,49,0,49
35,42,0,42
36,43,4,39
37,44,10,34
38,41,0,41
39,40,0,40
40,44,0,44
41,38,0,38
42,43,12,31
43,45,0,45
44,42,0,42
45,43,0,43
46,46,0,46
47,42,0,42
48,35,0,35
49,39,0,39
50,43,0,43
51,43,0,43
52,39,0,39
53,40,0,40
54,40,0,40
55,40,0,40
56,41,0,41
57,42,13,29
58,44,0,44
59,46,0,46
60,35,0,35
61,45,0,45
62,44,0,44
63,43,13,30
64,39,0,39
65,44,0,44
66,35,0,35
67,42,0,42
68,42,0,42
69,45,0,45
70,41,0,41
71,39,0,39
72,42,0,42
73,44,0,44
74,49,0,49
75,39,0,39
76,39,0,39
77,43,11,32
78,43,0,43
79,45,0,45
80,44,0,44
81,35,0,35
82,39,0,39
83,39,0,39
84,40,0,40
85,38,0,38
86,41,0,41
87,40,0,40
88,44,0,44
89,46,0,46
90,42,0,42
91,40,0,40
92,44,0,44
93,38,0,38
94,46,0,46
95,38,6,32
96,44,20,24
97,37,0,37
98,41,0,41
99,37,0,37
100,40,0,40
101,41,12,29
102,42,0,42
103,38,0,38
104,37,0,37
105,45,0,45
106,39,0,39
107,42,0,42
108,50,0,50
109,40,0,40
110,38,0,38
111,38,0,38
112,47,0,47
113,46,13,33
114,44,0,44
115,39,0,39
116,47,0,47
117,45,0,45
118,43,5,38
119,46,11,35
120,45,0,45
121,38,0,38
122,46,0,46
123,41,0,41
124,40,0,40
125,44,0,44
126,44,0,44
127,39,0,39
128,41,12,29
129,41,0,41
130,46,13,33
131,47,0,47
132,42,0,42
133,43,0,43
134,45,0,45
135,44,14,30
136,39,0,39
137,41,0,41
138,34,0,34
139,41,0,41
140,46,0,46
141,43,0,43
142,45,13,32
143,37,0,37
144,44,0,44
145,45,0,45
146,45,0,45
147,40,2,38
148,43,11,32
149,45,0,45
150,47,14,33
151,45,0,45
152,37,0,37
153,43,11,32
154,37,0,37
155,44,0,44
156,43,0,43
157,39,0,39
158,45,0,45
159,40,0,40
160,42,0,42
161,44,0,44
162,43,0,43
163,39,0,39
164,46,14,32
165,42,0,42
166,47,0,47
167,43,0,43
168,40,0,40
169,38,0,38
170,44,0,44
171,44,0,44
172,50,0,50
173,40,0,40
174,35,0,35
175,44,0,44
176,40,0,40
177,42,0,42
178,42,0,42
179,39,0,39
180,42,0,42
181,40,0,40
182,43,0,43
183,39,0,39
184,39,0,39
185,43,0,43
186,41,0,41
187,41,0,41
188,42,0,42
189,46,0,46
190,44,0,44
191,45,0,45
192,40,0,40
193,45,0,45
194,43,0,43
195,42,0,42
196,42,0,42
197,40,0,40
198,43,0,43
199,44,0,44
200,42,0,42
201,43,0,43
202,41,0,41
203,38,0,38
204,47,11,36
205,45,0,45
206,41,0,41
207,45,0,45
208,38,0,38
209,39,13,26
210,41,0,41
211,43,0,43
212,38,0,38
213,39,0,39
214,41,0,41
215,41,0,41
216,42,0,42
217,49,0,49
218,43,0,43
219,42,0,42
220,44,5,39
221,39,11,28
222,42,0,42
223,44,0,44
224,43,0,43
225,41,9,32
226,43,18,25
227,48,0,48
228,46,0,46
229,42,0,42
230,37,0,37
231,40,0,40
232,38,13,25
233,44,0,44
234,37,0,37
235,48,0,48
236,47,0,47
237,43,0,43
238,42,0,42
239,42,13,29
240,45,0,45
241,40,0,40
242,44,0,44
243,41,0,41
244,40,12,28
245,48,0,48
246,43,0,43
247,44,0,44
248,46,0,46
249,47,11,36
250,39,0,39
251,41,0,41
252,44,0,44
253,46,0,46
254,45,0,45
255,42,0,42
256,39,0,39
257,49,14,35
258,44,0,44
259,41,0,41
260,46,0,46
261,39,0,39
262,47,0,47
263,40,12,28
264,40,0,40
265,45,0,45
266,45,0,45
267,43,0,43
268,47,0,47
269,46,0,46
270,38,0,38
271,47,0,47
272,42,0,42
273,37,14,23
274,36,2,34
275,44,0,44
276,41,0,41
277,41,0,41
278,42,0,42
279,39,0,39
280,41,0,41
281,40,0,40
282,48,0,48
283,43,0,43
284,42,0,42
285,40,0,40
286,38,0,38
287,44,0,44
288,46,0,46
289,42,0,42
290,40,0,40
291,38,0,38
292,39,0,39
293,48,23,25
294,41,3,38
295,36,0,36
296,42,0,42
297,41,0,41
298,39,0,39
299,45,12,33
300,31,0,31
301,39,0,39
302,44,0,44
303,45,0,45
304,44,0,44
305,40,0,40
306,35,0,35
307,44,0,44
308,39,0,39
309,42,0,42
310,42,0,42
311,46,0,46
312,43,0,43
313,46,0,46
314,42,0,42
315,43,0,43
316,35,0,35
