"Interval start","All packets","Keyframes","Non-Keyframes"
317,41,16,25
318,41,0,41
319,40,0,40
320,45,0,45
321,45,0,45
322,46,0,46
323,47,14,33
324,46,0,46
325,40,0,40
326,43,0,43
327,47,0,47
328,47,8,39
329,45,6,39
330,38,0,38
331,39,0,39
332,41,0,41
333,41,0,41
334,42,12,30
335,45,0,45
336,48,0,48
337,42,0,42
338,44,0,44
339,48,13,35
340,34,0,34
341,44,0,44
342,44,0,44
343,43,0,43
344,42,0,42
345,39,0,39
346,43,0,43
347,41,0,41
348,37,0,37
349,45,0,45
350,44,13,31
351,47,0,47
352,38,0,38
353,40,0,40
354,42,0,42
355,43,0,43
356,38,0,38
357,44,13,31
358,44,0,44
359,39,0,39
360,40,0,40
361,41,0,41
362,39,13,26
363,40,0,40
364,38,0,38
365,36,0,36
366,40,0,40
367,40,0,40
368,45,2,43
369,36,10,26
370,41,0,41
371,27,0,27
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,1,0,0
