"Interval start","All packets","Keyframes","Non-Keyframes"
0,158,82,76
1,78,39,39
2,94,24,70
3,92,67,25
4,71,65,6
5,152,39,113
6,16,11,5
7,89,69,20
8,102,62,40
9,82,42,40
10,79,42,37
11,92,60,32
12,129,30,99
